text,category
UPI/SBI ATM Withdrawal/vikas.790@okicici/Payment/KOTAK,ATM & Cash
school van fee for Kumon Learning,Kids Activities
annual premium for Bajaj Allianz,Insurance
UPI-HP Petrol Pump-pooja.270@ybl-KOTAK-447964670-UPI,Transportation & Gas
annual premium for HDFC Life Insurance,Insurance
lunch bill paid at Domino's Pizza,Eating Out
UPI/Barbeque Nation/arjun.265@oksbi/Payment/KOTAK,Eating Out
mutual fund contribution to Groww,Investments & Savings Transfer
POS Sportskids Academy MUMBAI,Kids Activities
IMPS-8808009855-POOJA REDDY-ICICI-NoBroker Rent Payment,Rent & Mortgage
insurance premium paid to Star Health Insurance,Insurance
IMPS-9489345212-VIKAS MALHOTRA-KOTAK-School Fee Payment,Education
lunch bill paid at Third Wave Coffee,Eating Out
paid Park+ Parking for a ride,Transportation & Gas
semester fee via Udemy,Education
travel booking payment to IndiGo Airlines,Travel
NEFT Dr-KOTAK0000744-RAHUL MALHOTRA-Goibibo,Travel
ACH/TP ACH Practo Pharmacy 3425458760,Medicine & Pharmacy
IMPS-2949912028-POOJA DESAI-AXIS-HDFC ATM Withdrawal,ATM & Cash
UPI-BookMyShow-sneha.503@oksbi-AXIS-739715501-UPI,Entertainment & Subscriptions
IMPS-1286174002-VIKRAM KAPOOR-KOTAK-IRCTC,Transportation & Gas
POS HDFC Life Insurance HYDERABAD,Insurance
NEFT Dr-KOTAK0000485-DIVYA VERMA-SBI ATM Withdrawal,ATM & Cash
UPI-Star Health Insurance-vikas.712@okaxis-IDFC-633162309-UPI,Insurance
insurance premium paid to LIC Premium,Insurance
ACH/TP ACH Blinkit 6577442871,Groceries
grocery order from BigBasket,Groceries
NEFT Dr-ICICI0000773-MEERA RAO-Apollo Pharmacy,Medicine & Pharmacy
UPI-INOX Movies-neha.882@paytm-SBI-345150572-UPI,Entertainment & Subscriptions
ACH/TP ACH Airbnb 9349998051,Travel
UPI/BSES Rajdhani/anita.540@ybl/Payment/ICICI,Utilities
received Interest Credit this month,Income & Deposits
IMPS-7495822594-VIKRAM RAO-YES BANK-Wellness Forever,Medicine & Pharmacy
NEFT Dr-ICICI0000505-SANJAY GUPTA-Park+ Parking,Transportation & Gas
IMPS-6630774768-MANOJ RAO-AXIS-NPS Contribution,Investments & Savings Transfer
ACH/TP ACH ICICI Home Loan EMI 5116697037,Rent & Mortgage
IMPS-5968456262-KAVYA DESAI-ICICI-Apollo Pharmacy,Medicine & Pharmacy
IMPS-3458731926-KAVYA IYER-SBI-Akasa Air,Travel
utility bill for Airtel Postpaid,Utilities
cash withdrawn from ATM Cash Withdrawal,ATM & Cash
UPI-DMart-amit.494@ybl-SBI-542596187-UPI,Groceries
ATM Cash Withdrawal cash withdrawal,ATM & Cash
POS Dividend Credit DELHI,Income & Deposits
ACH/TP ACH Kidzee 0967485733,Kids Activities
UPI/GST on Bank Charges/divya.430@okaxis/Payment/HDFC,Fees & Interest
ACH/TP ACH EuroKids 9661956365,Kids Activities
NEFT Dr-ICICI0000335-ROHAN BOSE-School Fee Payment,Education
NEFT Dr-KOTAK0000828-RITU RAO-Reliance Trends,Shopping & Clothing
pharmacy bill paid at Practo Pharmacy,Medicine & Pharmacy
ACH/TP ACH Lakme Salon 7385607636,Personal Care
Faasos Ref#71295570,Eating Out
IMPS-7167189103-SURESH MENON-KOTAK-Kidzee,Kids Activities
Refund Credit credited to account,Income & Deposits
kids class fee paid to Sportskids Academy,Kids Activities
UPI-Freelance Payment Received-rohan.199@okhdfcbank-ICICI-269417482-UPI,Income & Deposits
Adani Electricity BANGALORE IN,Utilities
UPI-Kidzee-anjali.774@paytm-ICICI-266092381-UPI,Kids Activities
UPI-24Seven-rohan.830@ybl-AXIS-363842005-UPI,Groceries
Namma Metro Ref#53957508,Transportation & Gas
IMPS-1319995413-DIVYA NAIR-ICICI-Nature's Basket,Groceries
POS Apollo Pharmacy HYDERABAD,Medicine & Pharmacy
petrol bill at Indian Oil Petrol Pump,Transportation & Gas
NEFT Dr-KOTAK0000602-VIKAS PILLAI-Lakme Salon,Personal Care
paid Indian Oil Petrol Pump for a ride,Transportation & Gas
ACH/TP ACH Cleartrip 9721639898,Travel
semester fee via BYJU'S,Education
school van fee for EuroKids,Kids Activities
IMPS-3957730128-SURESH JOSHI-YES BANK-College Tuition NEFT,Education
tuition fee paid to Udemy,Education
Netmeds MUMBAI IN,Medicine & Pharmacy
Sportskids Academy MUMBAI IN,Kids Activities
ACH/TP ACH HDFC ATM Withdrawal 4637717719,ATM & Cash
paid IRCTC for a ride,Transportation & Gas
travel booking payment to Air India,Travel
SIP auto debit for Upstox,Investments & Savings Transfer
Fortis Healthcare Ref#71159598,Hospital & Medical
UPI/YesMadam/rohan.548@okhdfcbank/Payment/IDFC,Personal Care
UPI/Cult.fit/sanjay.278@oksbi/Payment/YES BANK,Personal Care
ACH/TP ACH ATM Cash Withdrawal 5149050299,ATM & Cash
mutual fund contribution to Upstox,Investments & Savings Transfer
SBI ATM Withdrawal cash withdrawal,ATM & Cash
NEFT Dr-YES BANK0000502-SANJAY IYER-Star Health Insurance,Insurance
monthly Jio Fiber bill payment,Utilities
Goibibo Ref#93706601,Travel
lab test fee at Narayana Health,Hospital & Medical
doctor consultation fee at Columbia Asia,Hospital & Medical
Manipal Hospital Ref#25339655,Hospital & Medical
monthly rent paid via SBI Home Loan EMI,Rent & Mortgage
NEFT Dr-YES BANK0000356-ANJALI VERMA-Cadabams Hospital,Hospital & Medical
school van fee for Kumon Learning,Kids Activities
enrolled kid in Little Millennium program,Kids Activities
penalty charge: GST on Bank Charges,Fees & Interest
payment received: Dividend Credit,Income & Deposits
POS Cadabams Hospital DELHI,Hospital & Medical
ACH/TP ACH MedPlus 8907263036,Medicine & Pharmacy
Employer Payroll credited to account,Income & Deposits
UPI/Apollo Hospitals/vikram.743@paytm/Payment/ICICI,Hospital & Medical
UPI/Netmeds/rohan.535@paytm/Payment/ICICI,Medicine & Pharmacy
UPI/Vodafone Idea/rahul.162@okhdfcbank/Payment/SBI,Utilities
bought vegetables and essentials at Blinkit,Groceries
Kumon Learning PUNE IN,Kids Activities
transferred savings to PPF Deposit,Investments & Savings Transfer
UPI/SBI ATM Withdrawal/sanjay.885@paytm/Payment/SBI,ATM & Cash
paid for Spotify Premium membership,Entertainment & Subscriptions
payment received: Refund Credit,Income & Deposits
paid Jawed Habib for a haircut,Personal Care
annual premium for Star Health Insurance,Insurance
enrolled kid in Little Millennium program,Kids Activities
JioHotstar Ref#78096463,Entertainment & Subscriptions
Spencer's MUMBAI IN,Groceries
POS Groww HYDERABAD,Investments & Savings Transfer
OYO Rooms Ref#54540314,Travel
children's activity payment to EuroKids,Kids Activities
YouTube Premium subscription auto debit,Entertainment & Subscriptions
IMPS-0722514775-SNEHA MALHOTRA-ICICI-Zerodha,Investments & Savings Transfer
IMPS-3600741840-POOJA NAIR-KOTAK-NPS Contribution,Investments & Savings Transfer
gym membership fee for Urban Company,Personal Care
grocery order from JioMart Grocery,Groceries
ACH/TP ACH GST on Bank Charges 6992591729,Fees & Interest
NEFT Dr-IDFC0000462-ARJUN PILLAI-BYJU'S,Education
annual premium for Max Bupa Health,Insurance
UPI-More Supermarket-rahul.859@okicici-AXIS-211755002-UPI,Groceries
transferred savings to PPF Deposit,Investments & Savings Transfer
IMPS-5698013752-SNEHA RAO-KOTAK-1mg Pharmacy,Medicine & Pharmacy
IMPS-8263687505-NEHA VERMA-YES BANK-Westside,Shopping & Clothing
IMPS-0393719127-SANJAY PILLAI-YES BANK-Property Owner NEFT,Rent & Mortgage
Naturals Salon GURGAON IN,Personal Care
UPI-SBI ATM Withdrawal-arjun.636@okhdfcbank-ICICI-296450811-UPI,ATM & Cash
ACH/TP ACH Chimpanzee Play Center 1637154832,Kids Activities
enrolled kid in Little Millennium program,Kids Activities
Freelance Payment Received PUNE IN,Income & Deposits
bought clothes online from Lifestyle Stores,Shopping & Clothing
NEFT Dr-KOTAK0000470-AMIT BOSE-LIC Premium,Insurance
LIC Premium policy renewal payment,Insurance
grocery order from Zepto,Groceries
NEFT Dr-AXIS0000286-RITU NAIR-Zara,Shopping & Clothing
UPI-PharmEasy-neha.440@okhdfcbank-YES BANK-739892384-UPI,Medicine & Pharmacy
NEFT Dr-IDFC0000633-RITU JOSHI-Cuemath,Kids Activities
course payment on College Tuition NEFT,Education
POS BYJU'S PUNE,Education
payment received: Employer Payroll,Income & Deposits
Cult.fit CHENNAI IN,Personal Care
flight booking on Airbnb,Travel
EuroKids Ref#20223512,Kids Activities
